mentee_id,priority_skills,priority_domain,priority_exp,priority_rating,w_skills,w_domain,w_exp,w_rating
mentee_d3d9a6e0,3,2,3,1,0.3,0.2333,0.3,0.1667
mentee_3d1408c6,2,2,5,1,0.22,0.22,0.4,0.16
mentee_89775e91,1,3,5,3,0.15,0.25,0.35,0.25
mentee_35228e4a,3,1,5,3,0.25,0.15,0.35,0.25
mentee_5cb69a69,2,4,5,3,0.1857,0.2714,0.3143,0.2286
mentee_a21963d5,3,1,1,3,0.325,0.175,0.175,0.325
mentee_b8d01c3f,2,3,2,3,0.22,0.28,0.22,0.28
mentee_2e160434,1,5,5,1,0.15,0.35,0.35,0.15
mentee_547d8724,4,3,5,5,0.2412,0.2059,0.2765,0.2765
mentee_e8893eff,2,4,2,3,0.2091,0.3182,0.2091,0.2636
mentee_ef114d69,3,2,5,4,0.2286,0.1857,0.3143,0.2714
mentee_e779ed9c,2,4,2,4,0.2,0.3,0.2,0.3
mentee_6c8a7399,3,2,4,1,0.28,0.22,0.34,0.16
mentee_693e47ca,4,2,4,2,0.3,0.2,0.3,0.2
mentee_5e1d4389,2,2,5,4,0.1923,0.1923,0.3308,0.2846
mentee_602f8c84,2,3,1,3,0.2333,0.3,0.1667,0.3
mentee_beb5cf8b,2,2,4,5,0.1923,0.1923,0.2846,0.3308
mentee_3c720e77,2,1,2,1,0.3,0.2,0.3,0.2
mentee_56291eba,4,2,4,4,0.2714,0.1857,0.2714,0.2714
mentee_7b37a736,1,5,2,1,0.1667,0.4333,0.2333,0.1667
mentee_5339052d,5,1,4,4,0.3143,0.1429,0.2714,0.2714
mentee_1ca31274,1,1,1,1,0.25,0.25,0.25,0.25
mentee_fb36e57e,2,2,1,3,0.25,0.25,0.175,0.325
mentee_52cf42aa,2,5,1,1,0.2333,0.4333,0.1667,0.1667
mentee_d2613e4e,1,5,3,1,0.16,0.4,0.28,0.16
mentee_9b5518e0,2,2,4,5,0.1923,0.1923,0.2846,0.3308
mentee_3ddc174f,4,2,3,3,0.3,0.2,0.25,0.25
mentee_2abbf34d,4,2,2,1,0.3667,0.2333,0.2333,0.1667
mentee_3870b4b2,5,3,5,1,0.3143,0.2286,0.3143,0.1429
mentee_92fb3678,1,1,1,5,0.175,0.175,0.175,0.475
mentee_6ecbb2d3,3,1,5,4,0.2385,0.1462,0.3308,0.2846
mentee_d17cc609,2,1,2,1,0.3,0.2,0.3,0.2
mentee_d7eb556e,2,4,4,2,0.2,0.3,0.3,0.2
mentee_9c24caeb,3,3,2,4,0.25,0.25,0.2,0.3
mentee_1a599c91,1,4,2,1,0.175,0.4,0.25,0.175
mentee_702f75fb,2,1,3,3,0.2333,0.1667,0.3,0.3
mentee_fa4f2280,1,5,3,1,0.16,0.4,0.28,0.16
mentee_b336e55a,3,1,1,5,0.28,0.16,0.16,0.4
mentee_4c6b9eba,2,2,4,5,0.1923,0.1923,0.2846,0.3308
mentee_4c77106b,3,5,2,4,0.2286,0.3143,0.1857,0.2714
mentee_ef21cdd2,2,3,5,3,0.1923,0.2385,0.3308,0.2385
mentee_101f1d6d,3,1,3,4,0.2636,0.1545,0.2636,0.3182
mentee_9a8c65d6,3,3,1,1,0.325,0.325,0.175,0.175
mentee_09409c59,2,2,3,2,0.2333,0.2333,0.3,0.2333
mentee_8ccaa638,4,4,4,1,0.2846,0.2846,0.2846,0.1462
mentee_378b20cb,1,5,4,3,0.1462,0.3308,0.2846,0.2385
mentee_3ca28c19,2,1,3,2,0.25,0.175,0.325,0.25
mentee_e6b7aa5a,2,4,3,3,0.2,0.3,0.25,0.25
mentee_bb750fb6,4,4,4,4,0.25,0.25,0.25,0.25
mentee_5103a471,5,3,2,2,0.35,0.25,0.2,0.2
mentee_0f961c34,4,4,5,4,0.2412,0.2412,0.2765,0.2412
mentee_40ac4f28,5,5,4,5,0.2579,0.2579,0.2263,0.2579
mentee_759f6b8b,5,2,4,1,0.35,0.2,0.3,0.15
mentee_c6519075,5,4,5,5,0.2579,0.2263,0.2579,0.2579
mentee_a12dd509,2,1,2,3,0.25,0.175,0.25,0.325
mentee_cd24b702,1,2,1,3,0.1857,0.2714,0.1857,0.3571
mentee_20d056eb,5,4,2,1,0.35,0.3,0.2,0.15
mentee_30711173,1,3,3,2,0.1667,0.3,0.3,0.2333
mentee_86773ff1,3,4,2,5,0.2286,0.2714,0.1857,0.3143
mentee_8d1fad73,4,2,2,2,0.34,0.22,0.22,0.22
mentee_afcb0861,1,2,1,2,0.2,0.3,0.2,0.3
mentee_5b43274f,4,1,4,3,0.3,0.15,0.3,0.25
mentee_8fd1b001,1,1,5,1,0.175,0.175,0.475,0.175
mentee_6b91bf9f,4,5,2,1,0.3,0.35,0.2,0.15
mentee_64fd1b38,2,3,2,1,0.25,0.325,0.25,0.175
mentee_dcbc8a1e,2,1,1,5,0.2333,0.1667,0.1667,0.4333
mentee_257fa135,4,2,2,4,0.3,0.2,0.2,0.3
mentee_430973d5,2,5,3,4,0.1857,0.3143,0.2286,0.2714
mentee_b1cc320e,4,3,4,1,0.3,0.25,0.3,0.15
mentee_e7f94e7e,3,1,2,1,0.3571,0.1857,0.2714,0.1857
mentee_0bdd3b2c,1,5,2,5,0.1462,0.3308,0.1923,0.3308
mentee_93623b2d,2,1,4,4,0.2091,0.1545,0.3182,0.3182
mentee_fa0ae41b,4,5,3,5,0.2412,0.2765,0.2059,0.2765
mentee_bb7587e8,5,3,2,4,0.3143,0.2286,0.1857,0.2714
mentee_da8b634c,2,3,1,5,0.2091,0.2636,0.1545,0.3727
mentee_1beb55cc,4,2,2,4,0.3,0.2,0.2,0.3
mentee_99ebc1aa,5,1,2,4,0.35,0.15,0.2,0.3
mentee_58782821,2,5,5,1,0.1923,0.3308,0.3308,0.1462
mentee_1db94101,4,4,3,4,0.26,0.26,0.22,0.26
mentee_fe41d344,4,2,1,3,0.34,0.22,0.16,0.28
mentee_c9d87f92,4,2,3,1,0.34,0.22,0.28,0.16
mentee_86f6d249,1,1,3,5,0.16,0.16,0.28,0.4
mentee_3bd8c581,3,1,2,3,0.3,0.1667,0.2333,0.3
mentee_12c607f0,2,5,1,1,0.2333,0.4333,0.1667,0.1667
mentee_7c0e3921,2,5,1,3,0.2091,0.3727,0.1545,0.2636
mentee_0b586e08,2,5,2,1,0.22,0.4,0.22,0.16
mentee_d2d1f1d3,2,3,1,5,0.2091,0.2636,0.1545,0.3727
mentee_e99a7aa5,5,1,5,4,0.3,0.14,0.3,0.26
mentee_6418b7de,1,1,3,1,0.2,0.2,0.4,0.2
mentee_b1ef83db,3,1,3,3,0.28,0.16,0.28,0.28
mentee_931ae6c7,4,5,2,3,0.2714,0.3143,0.1857,0.2286
mentee_781b7418,4,3,2,1,0.34,0.28,0.22,0.16
mentee_7cb50cd0,3,4,5,1,0.2385,0.2846,0.3308,0.1462
mentee_6ea60d6f,5,2,1,5,0.3308,0.1923,0.1462,0.3308
mentee_4fa05b7b,4,4,5,1,0.2714,0.2714,0.3143,0.1429
mentee_2ac44035,3,2,2,4,0.2636,0.2091,0.2091,0.3182
mentee_7399b83c,1,1,2,2,0.2,0.2,0.3,0.3
mentee_a836e506,2,2,5,5,0.1857,0.1857,0.3143,0.3143
mentee_6639a909,5,5,3,4,0.2765,0.2765,0.2059,0.2412
mentee_6e59043d,2,3,3,3,0.2091,0.2636,0.2636,0.2636
mentee_5de340a8,5,4,1,4,0.3143,0.2714,0.1429,0.2714
mentee_30275d24,2,2,5,5,0.1857,0.1857,0.3143,0.3143
mentee_8303e81d,1,2,5,4,0.15,0.2,0.35,0.3
mentee_e5556762,1,1,2,3,0.1857,0.1857,0.2714,0.3571
mentee_b9fe218e,5,1,4,1,0.3727,0.1545,0.3182,0.1545
mentee_e99f77c7,4,3,2,3,0.3,0.25,0.2,0.25
mentee_bbdbccb3,2,1,3,5,0.2091,0.1545,0.2636,0.3727
mentee_4c5d8a19,3,3,1,1,0.325,0.325,0.175,0.175
mentee_1face680,2,4,3,4,0.1923,0.2846,0.2385,0.2846
mentee_89d5f960,3,4,2,1,0.28,0.34,0.22,0.16
mentee_9be8becf,5,4,1,3,0.3308,0.2846,0.1462,0.2385
mentee_6f614359,3,4,4,5,0.2125,0.25,0.25,0.2875
mentee_0612118e,2,4,3,5,0.1857,0.2714,0.2286,0.3143
mentee_13872eae,5,3,3,1,0.35,0.25,0.25,0.15
mentee_5640a274,4,5,4,3,0.25,0.2875,0.25,0.2125
mentee_51c1d0b1,1,5,1,2,0.1667,0.4333,0.1667,0.2333
mentee_bbb3208b,5,1,2,1,0.4333,0.1667,0.2333,0.1667
mentee_15b8dfcb,3,4,2,5,0.2286,0.2714,0.1857,0.3143
mentee_5290fdf3,4,1,2,4,0.3182,0.1545,0.2091,0.3182
mentee_35d90d1f,4,1,3,4,0.3,0.15,0.25,0.3
mentee_08f6f7e6,4,5,4,1,0.2714,0.3143,0.2714,0.1429
mentee_21c93418,1,2,1,4,0.175,0.25,0.175,0.4
mentee_9aac0531,4,2,4,3,0.2846,0.1923,0.2846,0.2385
mentee_c4080484,1,3,3,5,0.15,0.25,0.25,0.35
mentee_18a446dd,4,2,4,1,0.3182,0.2091,0.3182,0.1545
mentee_88649ce6,3,4,1,5,0.2385,0.2846,0.1462,0.3308
mentee_11e9e9ea,2,4,2,2,0.22,0.34,0.22,0.22
mentee_215cf3de,3,5,1,5,0.2286,0.3143,0.1429,0.3143
mentee_9d7b98f8,4,1,3,4,0.3,0.15,0.25,0.3
mentee_96d70854,4,2,1,2,0.3667,0.2333,0.1667,0.2333
mentee_06fcbf97,1,4,3,3,0.1545,0.3182,0.2636,0.2636
mentee_080d8036,2,1,2,1,0.3,0.2,0.3,0.2
mentee_b9c88d0f,3,4,1,3,0.2636,0.3182,0.1545,0.2636
mentee_f72fa11c,4,4,5,2,0.26,0.26,0.3,0.18
mentee_7d8b79f8,3,2,1,1,0.3571,0.2714,0.1857,0.1857
mentee_12cb8f52,4,3,3,2,0.3,0.25,0.25,0.2
mentee_40ea2aee,2,3,4,4,0.1923,0.2385,0.2846,0.2846
mentee_74c11910,4,5,2,4,0.26,0.3,0.18,0.26
mentee_dfb1f050,3,5,4,1,0.2385,0.3308,0.2846,0.1462
mentee_4a7bdc51,5,5,2,1,0.3308,0.3308,0.1923,0.1462
mentee_9df7dd0e,5,5,2,3,0.3,0.3,0.18,0.22
mentee_4de40b69,3,1,2,4,0.28,0.16,0.22,0.34
mentee_98d03db0,2,4,3,1,0.22,0.34,0.28,0.16
mentee_984d5f99,4,3,5,1,0.2846,0.2385,0.3308,0.1462
mentee_578a4314,4,2,4,5,0.26,0.18,0.26,0.3
mentee_1f0322f3,1,1,2,2,0.2,0.2,0.3,0.3
mentee_7bb67e60,4,5,2,5,0.25,0.2875,0.175,0.2875
mentee_4077793e,4,2,3,2,0.3182,0.2091,0.2636,0.2091
mentee_147404d3,2,5,1,3,0.2091,0.3727,0.1545,0.2636
mentee_bda4c0a7,3,1,3,3,0.28,0.16,0.28,0.28
mentee_afb4bb0f,5,1,4,4,0.3143,0.1429,0.2714,0.2714
mentee_6fb06820,4,4,3,3,0.2714,0.2714,0.2286,0.2286
mentee_11dcf24f,5,4,5,3,0.2765,0.2412,0.2765,0.2059
mentee_855eaa42,1,2,4,4,0.1545,0.2091,0.3182,0.3182
mentee_e7096b59,3,2,5,5,0.22,0.18,0.3,0.3
mentee_563baeac,2,5,4,4,0.18,0.3,0.26,0.26
mentee_d0383546,3,4,3,5,0.22,0.26,0.22,0.3
mentee_bf4d0c37,1,1,1,1,0.25,0.25,0.25,0.25
mentee_ac9de28f,1,5,4,1,0.1545,0.3727,0.3182,0.1545
mentee_7ed9e56c,4,5,5,1,0.26,0.3,0.3,0.14
mentee_b3393e08,4,5,5,1,0.26,0.3,0.3,0.14
mentee_b441d55a,3,4,2,2,0.2636,0.3182,0.2091,0.2091
mentee_8ccc096e,4,5,4,1,0.2714,0.3143,0.2714,0.1429
mentee_98077795,2,4,1,3,0.22,0.34,0.16,0.28
mentee_d7faf496,4,4,4,1,0.2846,0.2846,0.2846,0.1462
mentee_fe3c763f,3,2,5,3,0.2385,0.1923,0.3308,0.2385
mentee_68717ac1,3,3,3,4,0.2385,0.2385,0.2385,0.2846
mentee_c0a82e1b,2,1,4,1,0.25,0.175,0.4,0.175
mentee_045e94ed,1,1,2,3,0.1857,0.1857,0.2714,0.3571
mentee_6a29dae5,5,5,3,3,0.2875,0.2875,0.2125,0.2125
mentee_b393f28c,2,5,4,2,0.1923,0.3308,0.2846,0.1923
mentee_48500034,5,4,2,5,0.2875,0.25,0.175,0.2875
mentee_691cede4,4,1,5,4,0.2714,0.1429,0.3143,0.2714
mentee_1689a9e4,2,4,2,4,0.2,0.3,0.2,0.3
mentee_15eb2982,3,5,2,4,0.2286,0.3143,0.1857,0.2714
mentee_560a7af7,2,1,2,5,0.22,0.16,0.22,0.4
mentee_ab5a8120,1,5,4,3,0.1462,0.3308,0.2846,0.2385
mentee_7606170f,5,2,3,2,0.35,0.2,0.25,0.2
mentee_afeb8048,1,1,1,4,0.1857,0.1857,0.1857,0.4429
mentee_49a6360f,1,5,2,1,0.1667,0.4333,0.2333,0.1667
mentee_33f5d728,5,5,1,5,0.2875,0.2875,0.1375,0.2875
mentee_b6cd0688,4,1,2,4,0.3182,0.1545,0.2091,0.3182
mentee_3ed4556b,3,2,2,2,0.3,0.2333,0.2333,0.2333
mentee_2750e83d,3,2,5,2,0.25,0.2,0.35,0.2
mentee_8ed0d157,4,3,1,3,0.3182,0.2636,0.1545,0.2636
mentee_af0de2ba,1,2,1,5,0.1667,0.2333,0.1667,0.4333
mentee_a095d3e9,1,1,4,5,0.1545,0.1545,0.3182,0.3727
mentee_fd43677f,1,1,2,3,0.1857,0.1857,0.2714,0.3571
mentee_3ecc4b23,3,2,1,1,0.3571,0.2714,0.1857,0.1857
mentee_c6685543,4,3,2,4,0.2846,0.2385,0.1923,0.2846
mentee_606fce0a,1,4,1,4,0.16,0.34,0.16,0.34
mentee_24770282,1,4,1,2,0.175,0.4,0.175,0.25
mentee_2f526093,4,4,3,4,0.26,0.26,0.22,0.26
mentee_ab223501,2,2,3,1,0.25,0.25,0.325,0.175
mentee_ab4291d0,2,5,5,1,0.1923,0.3308,0.3308,0.1462
mentee_2d48f3d4,1,3,3,4,0.1545,0.2636,0.2636,0.3182
mentee_1d40eb00,5,5,5,1,0.2875,0.2875,0.2875,0.1375
mentee_2a0de4c2,2,5,3,1,0.2091,0.3727,0.2636,0.1545
mentee_aba30c8e,2,5,1,5,0.1923,0.3308,0.1462,0.3308
mentee_fa21a6e1,1,5,5,2,0.1462,0.3308,0.3308,0.1923
mentee_25b14db7,2,3,1,2,0.25,0.325,0.175,0.25
mentee_ea410823,1,3,2,2,0.175,0.325,0.25,0.25
mentee_c37219ea,1,2,3,3,0.1667,0.2333,0.3,0.3
mentee_6b47b902,4,2,1,3,0.34,0.22,0.16,0.28
mentee_67054355,5,3,4,4,0.2875,0.2125,0.25,0.25
mentee_afc1bef9,4,5,4,2,0.26,0.3,0.26,0.18
mentee_dc9c8163,3,2,2,3,0.28,0.22,0.22,0.28
mentee_168e1415,4,1,5,5,0.26,0.14,0.3,0.3
mentee_261ca8e9,3,2,2,4,0.2636,0.2091,0.2091,0.3182
mentee_88d92f10,4,4,4,5,0.2412,0.2412,0.2412,0.2765
mentee_7b4a1999,3,3,5,1,0.25,0.25,0.35,0.15
mentee_11fd42bc,5,4,4,2,0.3,0.26,0.26,0.18
mentee_c25a4d50,5,3,3,1,0.35,0.25,0.25,0.15
mentee_b36d2665,4,2,1,5,0.3,0.2,0.15,0.35
mentee_1b35bde9,3,5,4,3,0.22,0.3,0.26,0.22
mentee_d2cfdf3e,5,5,3,4,0.2765,0.2765,0.2059,0.2412
mentee_61c1025f,1,1,2,3,0.1857,0.1857,0.2714,0.3571
mentee_4b8fc893,4,2,3,2,0.3182,0.2091,0.2636,0.2091
mentee_2306938c,1,2,3,3,0.1667,0.2333,0.3,0.3
mentee_5f7dc773,2,3,1,1,0.2714,0.3571,0.1857,0.1857
mentee_59af1264,3,1,3,2,0.3,0.1667,0.3,0.2333
mentee_e6bba067,4,5,3,2,0.2714,0.3143,0.2286,0.1857
mentee_8d699aa1,5,1,4,3,0.3308,0.1462,0.2846,0.2385
mentee_9374b665,5,2,5,2,0.3143,0.1857,0.3143,0.1857
mentee_03a3ca62,1,5,3,5,0.1429,0.3143,0.2286,0.3143
mentee_6175bde3,1,5,4,4,0.1429,0.3143,0.2714,0.2714
mentee_3306f6b0,3,3,2,2,0.28,0.28,0.22,0.22
mentee_86606b69,1,4,4,1,0.16,0.34,0.34,0.16
mentee_25e4fe6d,3,4,1,1,0.3,0.3667,0.1667,0.1667
mentee_1f0a6ffc,4,2,5,3,0.2714,0.1857,0.3143,0.2286
mentee_7a68caf7,5,4,2,5,0.2875,0.25,0.175,0.2875
mentee_f2e8b387,1,3,1,5,0.16,0.28,0.16,0.4
mentee_c030e0e8,1,4,3,2,0.16,0.34,0.28,0.22
mentee_c486e982,4,1,5,5,0.26,0.14,0.3,0.3
mentee_c92ce331,1,3,1,1,0.2,0.4,0.2,0.2
mentee_5538da7f,4,1,4,3,0.3,0.15,0.3,0.25
mentee_2406a2e5,3,3,3,4,0.2385,0.2385,0.2385,0.2846
mentee_8d3c560a,1,5,3,4,0.1462,0.3308,0.2385,0.2846
mentee_98ca9b0b,5,1,4,3,0.3308,0.1462,0.2846,0.2385
mentee_6b108c84,4,4,1,3,0.3,0.3,0.15,0.25
mentee_945bf095,5,1,1,2,0.4333,0.1667,0.1667,0.2333
mentee_f6306429,1,1,2,1,0.22,0.22,0.34,0.22
mentee_8313ba77,3,4,2,2,0.2636,0.3182,0.2091,0.2091
mentee_1357488e,1,2,3,5,0.1545,0.2091,0.2636,0.3727
mentee_4d50b250,1,1,3,1,0.2,0.2,0.4,0.2
mentee_a73018a0,1,1,3,1,0.2,0.2,0.4,0.2
mentee_dd846cdd,3,3,5,4,0.22,0.22,0.3,0.26
mentee_7e0f4141,3,2,2,5,0.25,0.2,0.2,0.35
mentee_7d614be1,4,1,2,3,0.34,0.16,0.22,0.28
mentee_6ca38c00,2,5,4,4,0.18,0.3,0.26,0.26
mentee_c15bb0a5,1,5,5,2,0.1462,0.3308,0.3308,0.1923
mentee_0af318d0,5,4,4,3,0.2875,0.25,0.25,0.2125
mentee_a43421e6,3,4,2,1,0.28,0.34,0.22,0.16
mentee_fe4d2d5d,3,3,1,3,0.28,0.28,0.16,0.28
mentee_3a3045a7,5,2,2,1,0.4,0.22,0.22,0.16
mentee_1e454ad3,1,4,1,2,0.175,0.4,0.175,0.25
mentee_fdc69ac9,1,2,4,4,0.1545,0.2091,0.3182,0.3182
mentee_bb684ccb,2,4,1,3,0.22,0.34,0.16,0.28
mentee_ce19c976,2,5,5,5,0.1706,0.2765,0.2765,0.2765
mentee_cf574f16,3,3,4,2,0.25,0.25,0.3,0.2
mentee_dbdd4ee6,5,1,2,2,0.4,0.16,0.22,0.22
mentee_86a9ee4b,3,4,4,5,0.2125,0.25,0.25,0.2875
mentee_1f4a85ce,5,2,4,2,0.3308,0.1923,0.2846,0.1923
mentee_8a5b52d6,1,3,4,2,0.16,0.28,0.34,0.22
mentee_0f98f6c3,3,5,1,2,0.2636,0.3727,0.1545,0.2091
mentee_586b42d5,4,1,1,2,0.4,0.175,0.175,0.25
mentee_562bd546,1,4,2,3,0.16,0.34,0.22,0.28
mentee_0a516141,1,4,5,4,0.1429,0.2714,0.3143,0.2714
mentee_8190e521,3,3,1,5,0.25,0.25,0.15,0.35
mentee_f8da9611,1,3,4,2,0.16,0.28,0.34,0.22
mentee_1895a59a,2,4,5,4,0.18,0.26,0.3,0.26
mentee_e7022110,5,3,1,4,0.3308,0.2385,0.1462,0.2846
mentee_37374913,3,3,1,1,0.325,0.325,0.175,0.175
mentee_3a016b18,4,4,2,3,0.2846,0.2846,0.1923,0.2385
mentee_e3f2ab1c,2,4,2,5,0.1923,0.2846,0.1923,0.3308
mentee_b66bf8cf,3,5,5,4,0.2059,0.2765,0.2765,0.2412
mentee_d0d74d61,5,4,1,1,0.3727,0.3182,0.1545,0.1545
mentee_7f3a00e5,2,1,2,1,0.3,0.2,0.3,0.2
mentee_cf004f0f,1,1,5,3,0.16,0.16,0.4,0.28
mentee_d6d60b68,2,1,5,1,0.2333,0.1667,0.4333,0.1667
mentee_1d9d7d2a,3,2,5,4,0.2286,0.1857,0.3143,0.2714
mentee_f6001773,4,4,1,2,0.3182,0.3182,0.1545,0.2091
mentee_ff14e511,3,4,2,2,0.2636,0.3182,0.2091,0.2091
mentee_c2398282,2,3,3,5,0.1923,0.2385,0.2385,0.3308
mentee_e0405b87,3,1,1,2,0.3571,0.1857,0.1857,0.2714
mentee_7096ed82,5,5,4,3,0.2765,0.2765,0.2412,0.2059
mentee_fcf0d235,2,2,3,1,0.25,0.25,0.325,0.175
mentee_b14c9865,2,2,3,4,0.2091,0.2091,0.2636,0.3182
mentee_d93bbe2a,2,1,4,4,0.2091,0.1545,0.3182,0.3182
mentee_5382c853,3,1,2,3,0.3,0.1667,0.2333,0.3
mentee_edad3e6d,1,2,1,5,0.1667,0.2333,0.1667,0.4333
mentee_713cfc60,3,4,5,1,0.2385,0.2846,0.3308,0.1462
mentee_6c7c5c37,4,2,4,1,0.3182,0.2091,0.3182,0.1545
mentee_c0f05e4f,1,1,5,3,0.16,0.16,0.4,0.28
mentee_64f887ad,2,5,5,2,0.1857,0.3143,0.3143,0.1857
mentee_69cdaedc,2,1,1,3,0.2714,0.1857,0.1857,0.3571
mentee_f6bd928a,3,4,4,3,0.2286,0.2714,0.2714,0.2286
mentee_0238de51,5,3,4,3,0.3,0.22,0.26,0.22
mentee_4cde36bf,3,4,1,3,0.2636,0.3182,0.1545,0.2636
mentee_9e904760,3,3,5,5,0.2125,0.2125,0.2875,0.2875
mentee_0e57e997,4,1,3,5,0.2846,0.1462,0.2385,0.3308
mentee_d5b9c432,1,2,4,2,0.1667,0.2333,0.3667,0.2333
mentee_8918cece,2,3,4,1,0.22,0.28,0.34,0.16
mentee_e632570b,2,5,4,3,0.1857,0.3143,0.2714,0.2286
mentee_e82cda60,2,1,2,4,0.2333,0.1667,0.2333,0.3667
mentee_46dc6521,1,3,5,4,0.1462,0.2385,0.3308,0.2846
mentee_dd64c968,5,2,3,3,0.3308,0.1923,0.2385,0.2385
mentee_3bae0521,3,4,5,4,0.2125,0.25,0.2875,0.25
mentee_cf9d882b,3,3,2,1,0.3,0.3,0.2333,0.1667
mentee_b7f26557,5,5,3,5,0.2667,0.2667,0.2,0.2667
mentee_c5f4e32c,1,4,4,5,0.1429,0.2714,0.2714,0.3143
mentee_92ecf2a7,3,3,1,1,0.325,0.325,0.175,0.175
mentee_e047860f,4,2,4,2,0.3,0.2,0.3,0.2
mentee_efb0618e,5,3,5,5,0.2667,0.2,0.2667,0.2667
mentee_e2293558,2,3,4,3,0.2,0.25,0.3,0.25
mentee_c0b8a231,1,3,1,4,0.1667,0.3,0.1667,0.3667
mentee_bd6c5de8,1,2,3,5,0.1545,0.2091,0.2636,0.3727
mentee_aac930d4,1,1,4,3,0.1667,0.1667,0.3667,0.3
mentee_0ecb55b6,1,4,3,1,0.1667,0.3667,0.3,0.1667
mentee_ae06e31a,1,3,2,3,0.1667,0.3,0.2333,0.3
mentee_7ddf624f,3,5,5,2,0.22,0.3,0.3,0.18
mentee_7aefba0c,1,3,2,2,0.175,0.325,0.25,0.25
mentee_1cd51c10,4,5,1,3,0.2846,0.3308,0.1462,0.2385
mentee_b32c75fe,2,1,4,3,0.22,0.16,0.34,0.28
mentee_ea55f0c8,2,4,4,4,0.1857,0.2714,0.2714,0.2714
mentee_ef5f8f9a,1,3,3,5,0.15,0.25,0.25,0.35
mentee_72ffacc5,3,2,5,4,0.2286,0.1857,0.3143,0.2714
mentee_5ce60ef5,3,5,2,2,0.25,0.35,0.2,0.2
mentee_47cef337,3,2,4,5,0.2286,0.1857,0.2714,0.3143
mentee_f8104eea,2,3,3,1,0.2333,0.3,0.3,0.1667
mentee_c6af01f2,3,5,4,5,0.2059,0.2765,0.2412,0.2765
mentee_b3acf3fa,2,4,4,1,0.2091,0.3182,0.3182,0.1545
mentee_3b803613,2,5,4,3,0.1857,0.3143,0.2714,0.2286
mentee_83769c60,5,3,4,3,0.3,0.22,0.26,0.22
mentee_a0ce4082,4,4,4,4,0.25,0.25,0.25,0.25
mentee_963f7fb5,4,1,5,1,0.3182,0.1545,0.3727,0.1545
mentee_28ff39ca,4,1,2,5,0.3,0.15,0.2,0.35
mentee_9ebf9acc,3,2,5,5,0.22,0.18,0.3,0.3
mentee_3773285a,3,2,5,5,0.22,0.18,0.3,0.3
mentee_69577679,5,3,1,4,0.3308,0.2385,0.1462,0.2846
mentee_970502e6,2,4,1,4,0.2091,0.3182,0.1545,0.3182
mentee_cfb2b663,5,4,1,1,0.3727,0.3182,0.1545,0.1545
mentee_c29d6488,1,3,1,3,0.175,0.325,0.175,0.325
mentee_60b86058,5,1,3,5,0.3143,0.1429,0.2286,0.3143
mentee_7616af1f,4,3,1,1,0.3667,0.3,0.1667,0.1667
mentee_b90d08b6,5,5,1,2,0.3308,0.3308,0.1462,0.1923
mentee_344661a7,5,2,5,4,0.2875,0.175,0.2875,0.25
mentee_9ba4bb44,2,2,2,3,0.2333,0.2333,0.2333,0.3
mentee_44ec22c9,3,1,4,5,0.2385,0.1462,0.2846,0.3308
mentee_f102e0b4,2,1,1,1,0.34,0.22,0.22,0.22
mentee_c4200326,2,5,1,5,0.1923,0.3308,0.1462,0.3308
mentee_aaf54027,1,2,2,1,0.2,0.3,0.3,0.2
mentee_c883ac08,4,1,5,4,0.2714,0.1429,0.3143,0.2714
mentee_d7a710db,4,1,1,3,0.3667,0.1667,0.1667,0.3
mentee_b027ec57,4,4,2,2,0.3,0.3,0.2,0.2
mentee_98f2b566,5,3,5,4,0.2765,0.2059,0.2765,0.2412
mentee_4ef9680c,5,1,4,2,0.35,0.15,0.3,0.2
mentee_c6256616,1,2,2,2,0.1857,0.2714,0.2714,0.2714
mentee_9a14fb2a,2,5,5,2,0.1857,0.3143,0.3143,0.1857
mentee_62641291,4,4,3,3,0.2714,0.2714,0.2286,0.2286
mentee_4cccb9b6,1,5,4,3,0.1462,0.3308,0.2846,0.2385
mentee_6d51e835,3,4,4,1,0.25,0.3,0.3,0.15
mentee_62af57ba,4,4,4,2,0.2714,0.2714,0.2714,0.1857
mentee_5803d463,1,3,4,1,0.1667,0.3,0.3667,0.1667
mentee_c5e67ca5,5,4,1,5,0.3,0.26,0.14,0.3
mentee_12ae40bf,3,1,5,4,0.2385,0.1462,0.3308,0.2846
mentee_779f6c4c,1,3,2,4,0.16,0.28,0.22,0.34
mentee_ca825889,4,3,1,2,0.34,0.28,0.16,0.22
mentee_98c570e6,3,5,5,2,0.22,0.3,0.3,0.18
mentee_f9ed404f,3,5,4,5,0.2059,0.2765,0.2412,0.2765
mentee_b6e1992b,1,2,2,3,0.175,0.25,0.25,0.325
mentee_d62f688a,5,3,4,2,0.3143,0.2286,0.2714,0.1857
mentee_b0468202,3,3,4,1,0.2636,0.2636,0.3182,0.1545
mentee_554383f0,4,4,4,5,0.2412,0.2412,0.2412,0.2765
mentee_7730b670,2,5,5,5,0.1706,0.2765,0.2765,0.2765
mentee_04a558f1,3,2,3,5,0.2385,0.1923,0.2385,0.3308
mentee_37712757,5,3,5,5,0.2667,0.2,0.2667,0.2667
mentee_e31eda5f,4,1,1,1,0.4429,0.1857,0.1857,0.1857
mentee_28c62699,2,2,1,1,0.3,0.3,0.2,0.2
mentee_4c7beb71,4,4,3,2,0.2846,0.2846,0.2385,0.1923
